MaThuoc,TenThuoc,TenThuocKhongDau,DonVi,DonGia
T01845,Aspirin 10 mg (Stada - Lot 840),Aspirin 10 mg (Stada - Lot 840),Viên nang,37950
T01846,Giảm Đau 100 mg (Domesco - Lot 678),Giam Dau 100 mg (Domesco - Lot 678),Tuýp,399300
T01847,Aspirin 5 ml (Viên nén - Lot 205),Aspirin 5 ml (Vien nen - Lot 205),Viên nén,338720
T01848,Pantoprazole 1000 IU (Mekophar - Lot 741),Pantoprazole 1000 IU (Mekophar - Lot 741),Gói,144560
T01849,Diclofenac 1000 IU (Stada - Lot 579),Diclofenac 1000 IU (Stada - Lot 579),Viên nén,142750
T01850,Fluconazole 500 mg (Stada - Lot 376),Fluconazole 500 mg (Stada - Lot 376),Chai,131670
T01851,Cefuroxim 500 mg (Domesco - Lot 695),Cefuroxim 500 mg (Domesco - Lot 695),Viên nén,118130
T01852,Ibuprofen 500 mg (Domesco - Lot 389),Ibuprofen 500 mg (Domesco - Lot 389),Chai,106560
T01853,Diazepam 500 mg (Domesco - Lot 702),Diazepam 500 mg (Domesco - Lot 702),Tuýp,406290
T01854,Captopril 1000 IU (Mekophar - Lot 499),Captopril 1000 IU (Mekophar - Lot 499),Viên nang,212200
T01855,Diclofenac 5 mg (Domesco - Lot 734),Diclofenac 5 mg (Domesco - Lot 734),Gói,420320
T01856,Omeprazole 250 mg (Domesco - Lot 131),Omeprazole 250 mg (Domesco - Lot 131),Viên nang,287630
T01857,Atorvastatin 100 mg (Viên nén - Lot 887),Atorvastatin 100 mg (Vien nen - Lot 887),Hộp,348840
T01858,Loratadine 1000 IU (Mekophar - Lot 878),Loratadine 1000 IU (Mekophar - Lot 878),Tuýp,169770
T01859,Metformin 5 mg (Mekophar - Lot 837),Metformin 5 mg (Mekophar - Lot 837),Chai,58610
T01860,Giảm Đau 500 mg (Mekophar - Lot 104),Giam Dau 500 mg (Mekophar - Lot 104),Viên nang,368010
T01861,Paracetamol 250 mg (Viên nén - Lot 676),Paracetamol 250 mg (Vien nen - Lot 676),Gói,235850
T01862,Fluconazole 250 mg (Stada - Lot 538),Fluconazole 250 mg (Stada - Lot 538),Gói,468960
T01863,Cefuroxim 500 mg (Domesco - Lot 606),Cefuroxim 500 mg (Domesco - Lot 606),Gói,436140
T01864,Doxycycline 1000 IU (Mekophar - Lot 313),Doxycycline 1000 IU (Mekophar - Lot 313),Tuýp,410950
T01865,Hạ Sốt 5 ml (Mekophar - Lot 683),Ha Sot 5 ml (Mekophar - Lot 683),Tuýp,462410
T01866,Fluconazole 5 mg (Mekophar - Lot 731),Fluconazole 5 mg (Mekophar - Lot 731),Viên nang,36090
T01867,Hạ Sốt 10 mg (Viên nén - Lot 226),Ha Sot 10 mg (Vien nen - Lot 226),Chai,84560
T01868,Cefuroxim 250 mg (Mekophar - Lot 329),Cefuroxim 250 mg (Mekophar - Lot 329),Chai,464330
T01869,Fluconazole 100 mg (Viên nén - Lot 254),Fluconazole 100 mg (Vien nen - Lot 254),Viên nang,194870
T01870,Diclofenac 5 ml (Stada - Lot 781),Diclofenac 5 ml (Stada - Lot 781),Viên nang,140250
T01871,Vitamin C 5 mg (Domesco - Lot 100),Vitamin C 5 mg (Domesco - Lot 100),Viên nén,59040
T01872,Aspirin 10 mg (Viên nén - Lot 995),Aspirin 10 mg (Vien nen - Lot 995),Chai,152140
T01873,Losartan 100 mg (Domesco - Lot 378),Losartan 100 mg (Domesco - Lot 378),Viên nén,271020
T01874,Losartan 10 mg (Domesco - Lot 989),Losartan 10 mg (Domesco - Lot 989),Viên nén,410840
T01875,Losartan 500 mg (Domesco - Lot 876),Losartan 500 mg (Domesco - Lot 876),Tuýp,385690
T01876,Loratadine 250 mg (Mekophar - Lot 905),Loratadine 250 mg (Mekophar - Lot 905),Ống tiêm,428600
T01877,Omeprazole 1000 IU (Stada - Lot 922),Omeprazole 1000 IU (Stada - Lot 922),Chai,82800
T01878,Ibuprofen 1000 IU (Stada - Lot 492),Ibuprofen 1000 IU (Stada - Lot 492),Gói,352910
T01879,Losartan 5 mg (Mekophar - Lot 622),Losartan 5 mg (Mekophar - Lot 622),Hộp,90360
T01880,Omeprazole 1000 IU (Viên nén - Lot 522),Omeprazole 1000 IU (Vien nen - Lot 522),Hộp,390120
T01881,Cefuroxim 5 ml (Mekophar - Lot 501),Cefuroxim 5 ml (Mekophar - Lot 501),Ống tiêm,412770
T01882,Omeprazole 1000 IU (Mekophar - Lot 938),Omeprazole 1000 IU (Mekophar - Lot 938),Hộp,361080
T01883,Diclofenac 250 mg (Stada - Lot 509),Diclofenac 250 mg (Stada - Lot 509),Viên nang,194230
T01884,Levothyroxine 5 ml (Viên nén - Lot 350),Levothyroxine 5 ml (Vien nen - Lot 350),Chai,434230
T01885,Ibuprofen 1000 IU (Mekophar - Lot 981),Ibuprofen 1000 IU (Mekophar - Lot 981),Gói,27220
T01886,Amoxicillin 5 mg (Mekophar - Lot 562),Amoxicillin 5 mg (Mekophar - Lot 562),Chai,181790
T01887,Losartan 5 ml (Stada - Lot 607),Losartan 5 ml (Stada - Lot 607),Tuýp,35390
T01888,Cefuroxim 500 mg (Stada - Lot 140),Cefuroxim 500 mg (Stada - Lot 140),Chai,320480
T01889,Prednisolone 250 mg (Viên nén - Lot 257),Prednisolone 250 mg (Vien nen - Lot 257),Hộp,280850
T01890,Prednisolone 5 ml (Stada - Lot 386),Prednisolone 5 ml (Stada - Lot 386),Ống tiêm,325200
T01891,Loratadine 10 mg (Mekophar - Lot 632),Loratadine 10 mg (Mekophar - Lot 632),Viên nang,417440
T01892,Captopril 5 ml (Mekophar - Lot 204),Captopril 5 ml (Mekophar - Lot 204),Hộp,384170
T01893,Cefuroxim 100 mg (Mekophar - Lot 248),Cefuroxim 100 mg (Mekophar - Lot 248),Ống tiêm,324640
T01894,Aspirin 10 mg (Stada - Lot 285),Aspirin 10 mg (Stada - Lot 285),Ống tiêm,467520
T01895,Hạ Sốt 5 ml (Mekophar - Lot 461),Ha Sot 5 ml (Mekophar - Lot 461),Viên nén,87530
T01896,Doxycycline 5 ml (Stada - Lot 789),Doxycycline 5 ml (Stada - Lot 789),Viên nang,39660
T01897,Metformin 1000 IU (Domesco - Lot 303),Metformin 1000 IU (Domesco - Lot 303),Viên nang,275980
T01898,Omeprazole 250 mg (Stada - Lot 442),Omeprazole 250 mg (Stada - Lot 442),Viên nén,203610
T01899,Levothyroxine 1000 IU (Viên nén - Lot 416),Levothyroxine 1000 IU (Vien nen - Lot 416),Gói,432300
T01900,Diazepam 1000 IU (Viên nén - Lot 241),Diazepam 1000 IU (Vien nen - Lot 241),Viên nén,317860
T01901,Vitamin C 1000 IU (Mekophar - Lot 693),Vitamin C 1000 IU (Mekophar - Lot 693),Chai,301900
T01902,Fluconazole 1000 IU (Viên nén - Lot 644),Fluconazole 1000 IU (Vien nen - Lot 644),Hộp,477620
T01903,Chống Viêm 500 mg (Stada - Lot 313),Chong Viem 500 mg (Stada - Lot 313),Tuýp,296900
T01904,Pantoprazole 100 mg (Domesco - Lot 240),Pantoprazole 100 mg (Domesco - Lot 240),Viên nang,338360
T01905,Vitamin C 100 mg (Viên nén - Lot 564),Vitamin C 100 mg (Vien nen - Lot 564),Hộp,53940
T01906,Prednisolone 1000 IU (Domesco - Lot 308),Prednisolone 1000 IU (Domesco - Lot 308),Hộp,307960
T01907,Pantoprazole 5 mg (Mekophar - Lot 542),Pantoprazole 5 mg (Mekophar - Lot 542),Viên nang,447420
T01908,Vitamin C 10 mg (Stada - Lot 368),Vitamin C 10 mg (Stada - Lot 368),Viên nang,458950
T01909,Ibuprofen 10 mg (Stada - Lot 171),Ibuprofen 10 mg (Stada - Lot 171),Hộp,65290
T01910,Atorvastatin 5 mg (Stada - Lot 244),Atorvastatin 5 mg (Stada - Lot 244),Ống tiêm,386880
T01911,Atorvastatin 500 mg (Mekophar - Lot 675),Atorvastatin 500 mg (Mekophar - Lot 675),Hộp,159440
T01912,Atorvastatin 100 mg (Stada - Lot 596),Atorvastatin 100 mg (Stada - Lot 596),Tuýp,366880
T01913,Loratadine 5 mg (Mekophar - Lot 947),Loratadine 5 mg (Mekophar - Lot 947),Ống tiêm,231920
T01914,Giảm Đau 5 mg (Viên nén - Lot 987),Giam Dau 5 mg (Vien nen - Lot 987),Ống tiêm,348600
T01915,Doxycycline 10 mg (Mekophar - Lot 331),Doxycycline 10 mg (Mekophar - Lot 331),Viên nang,258560
T01916,Fluconazole 1000 IU (Domesco - Lot 721),Fluconazole 1000 IU (Domesco - Lot 721),Ống tiêm,220090
T01917,Pantoprazole 5 mg (Domesco - Lot 452),Pantoprazole 5 mg (Domesco - Lot 452),Tuýp,364410
T01918,Ibuprofen 10 mg (Domesco - Lot 787),Ibuprofen 10 mg (Domesco - Lot 787),Tuýp,413830
T01919,Aspirin 5 ml (Mekophar - Lot 416),Aspirin 5 ml (Mekophar - Lot 416),Viên nang,262120
T01920,Captopril 500 mg (Stada - Lot 296),Captopril 500 mg (Stada - Lot 296),Ống tiêm,315700
T01921,Captopril 10 mg (Domesco - Lot 520),Captopril 10 mg (Domesco - Lot 520),Gói,123350
T01922,Diazepam 250 mg (Mekophar - Lot 396),Diazepam 250 mg (Mekophar - Lot 396),Viên nang,316870
T01923,Chống Viêm 250 mg (Viên nén - Lot 619),Chong Viem 250 mg (Vien nen - Lot 619),Viên nén,425850
T01924,Furosemide 1000 IU (Viên nén - Lot 472),Furosemide 1000 IU (Vien nen - Lot 472),Gói,404490
T01925,Metformin 5 mg (Viên nén - Lot 280),Metformin 5 mg (Vien nen - Lot 280),Viên nang,158930
T01926,Vitamin C 1000 IU (Viên nén - Lot 399),Vitamin C 1000 IU (Vien nen - Lot 399),Viên nén,77510
T01927,Prednisolone 10 mg (Viên nén - Lot 251),Prednisolone 10 mg (Vien nen - Lot 251),Viên nén,82280
T01928,Losartan 500 mg (Stada - Lot 367),Losartan 500 mg (Stada - Lot 367),Ống tiêm,417650
T01929,Hạ Sốt 5 ml (Domesco - Lot 667),Ha Sot 5 ml (Domesco - Lot 667),Gói,221250
T01930,Loratadine 100 mg (Stada - Lot 977),Loratadine 100 mg (Stada - Lot 977),Viên nang,327650
T01931,Giảm Đau 250 mg (Mekophar - Lot 362),Giam Dau 250 mg (Mekophar - Lot 362),Tuýp,332760
T01932,Vitamin C 100 mg (Viên nén - Lot 182),Vitamin C 100 mg (Vien nen - Lot 182),Viên nén,123410
T01933,Vitamin C 250 mg (Viên nén - Lot 756),Vitamin C 250 mg (Vien nen - Lot 756),Hộp,77490
T01934,Losartan 5 ml (Viên nén - Lot 733),Losartan 5 ml (Vien nen - Lot 733),Tuýp,101000
T01935,Paracetamol 100 mg (Domesco - Lot 303),Paracetamol 100 mg (Domesco - Lot 303),Tuýp,13620
T01936,Losartan 5 mg (Stada - Lot 893),Losartan 5 mg (Stada - Lot 893),Chai,436380
T01937,Levothyroxine 10 mg (Viên nén - Lot 942),Levothyroxine 10 mg (Vien nen - Lot 942),Tuýp,133150
T01938,Diazepam 500 mg (Domesco - Lot 912),Diazepam 500 mg (Domesco - Lot 912),Hộp,397630
T01939,Atorvastatin 1000 IU (Stada - Lot 429),Atorvastatin 1000 IU (Stada - Lot 429),Viên nang,311640
T01940,Chống Viêm 100 mg (Mekophar - Lot 945),Chong Viem 100 mg (Mekophar - Lot 945),Gói,468220
T01941,Captopril 1000 IU (Viên nén - Lot 304),Captopril 1000 IU (Vien nen - Lot 304),Gói,482790
T01942,Cefuroxim 1000 IU (Viên nén - Lot 809),Cefuroxim 1000 IU (Vien nen - Lot 809),Hộp,320360
T01943,Captopril 500 mg (Stada - Lot 699),Captopril 500 mg (Stada - Lot 699),Hộp,143570
T01944,Prednisolone 250 mg (Mekophar - Lot 311),Prednisolone 250 mg (Mekophar - Lot 311),Viên nang,156150
T01945,Diclofenac 1000 IU (Mekophar - Lot 386),Diclofenac 1000 IU (Mekophar - Lot 386),Viên nang,398540
T01946,Fluconazole 5 mg (Viên nén - Lot 380),Fluconazole 5 mg (Vien nen - Lot 380),Hộp,377590
T01947,Atorvastatin 1000 IU (Domesco - Lot 558),Atorvastatin 1000 IU (Domesco - Lot 558),Tuýp,488140
T01948,Loratadine 250 mg (Stada - Lot 794),Loratadine 250 mg (Stada - Lot 794),Tuýp,300580
T01949,Omeprazole 1000 IU (Stada - Lot 607),Omeprazole 1000 IU (Stada - Lot 607),Gói,233690
T01950,Prednisolone 250 mg (Stada - Lot 622),Prednisolone 250 mg (Stada - Lot 622),Tuýp,484180
T01951,Levothyroxine 500 mg (Viên nén - Lot 445),Levothyroxine 500 mg (Vien nen - Lot 445),Chai,428720
T01952,Omeprazole 500 mg (Domesco - Lot 121),Omeprazole 500 mg (Domesco - Lot 121),Ống tiêm,266870
T01953,Doxycycline 1000 IU (Mekophar - Lot 557),Doxycycline 1000 IU (Mekophar - Lot 557),Ống tiêm,237470
T01954,Atorvastatin 5 ml (Viên nén - Lot 683),Atorvastatin 5 ml (Vien nen - Lot 683),Ống tiêm,237220
T01955,Prednisolone 250 mg (Stada - Lot 436),Prednisolone 250 mg (Stada - Lot 436),Viên nang,426200
T01956,Chống Viêm 1000 IU (Domesco - Lot 371),Chong Viem 1000 IU (Domesco - Lot 371),Gói,83300
T01957,Ibuprofen 5 mg (Mekophar - Lot 761),Ibuprofen 5 mg (Mekophar - Lot 761),Chai,89740
T01958,Prednisolone 10 mg (Mekophar - Lot 803),Prednisolone 10 mg (Mekophar - Lot 803),Gói,403850
T01959,Pantoprazole 1000 IU (Mekophar - Lot 510),Pantoprazole 1000 IU (Mekophar - Lot 510),Hộp,290930
T01960,Amoxicillin 10 mg (Viên nén - Lot 383),Amoxicillin 10 mg (Vien nen - Lot 383),Viên nang,452610
T01961,Vitamin C 250 mg (Mekophar - Lot 187),Vitamin C 250 mg (Mekophar - Lot 187),Hộp,270550
T01962,Loratadine 100 mg (Mekophar - Lot 459),Loratadine 100 mg (Mekophar - Lot 459),Viên nang,91570
T01963,Chống Viêm 5 mg (Domesco - Lot 322),Chong Viem 5 mg (Domesco - Lot 322),Tuýp,33470
T01964,Losartan 100 mg (Domesco - Lot 703),Losartan 100 mg (Domesco - Lot 703),Gói,121690
T01965,Metformin 5 ml (Stada - Lot 504),Metformin 5 ml (Stada - Lot 504),Ống tiêm,454360
T01966,Levothyroxine 5 ml (Stada - Lot 492),Levothyroxine 5 ml (Stada - Lot 492),Ống tiêm,259160
T01967,Hạ Sốt 100 mg (Viên nén - Lot 330),Ha Sot 100 mg (Vien nen - Lot 330),Viên nang,421080
T01968,Aspirin 10 mg (Mekophar - Lot 647),Aspirin 10 mg (Mekophar - Lot 647),Viên nang,322210
T01969,Metformin 5 mg (Stada - Lot 327),Metformin 5 mg (Stada - Lot 327),Viên nén,271860
T01970,Prednisolone 5 ml (Viên nén - Lot 537),Prednisolone 5 ml (Vien nen - Lot 537),Gói,326350
T01971,Metformin 5 ml (Viên nén - Lot 923),Metformin 5 ml (Vien nen - Lot 923),Ống tiêm,414360
T01972,Pantoprazole 100 mg (Viên nén - Lot 557),Pantoprazole 100 mg (Vien nen - Lot 557),Viên nén,66580
T01973,Diazepam 250 mg (Mekophar - Lot 319),Diazepam 250 mg (Mekophar - Lot 319),Tuýp,24770
T01974,Levothyroxine 250 mg (Stada - Lot 663),Levothyroxine 250 mg (Stada - Lot 663),Viên nang,158480
T01975,Prednisolone 250 mg (Stada - Lot 241),Prednisolone 250 mg (Stada - Lot 241),Tuýp,474420
T01976,Giảm Đau 250 mg (Mekophar - Lot 268),Giam Dau 250 mg (Mekophar - Lot 268),Ống tiêm,443940
T01977,Diazepam 5 mg (Mekophar - Lot 652),Diazepam 5 mg (Mekophar - Lot 652),Ống tiêm,19310
T01978,Giảm Đau 250 mg (Mekophar - Lot 441),Giam Dau 250 mg (Mekophar - Lot 441),Tuýp,218900
T01979,Paracetamol 5 ml (Viên nén - Lot 633),Paracetamol 5 ml (Vien nen - Lot 633),Gói,149800
T01980,Prednisolone 100 mg (Viên nén - Lot 187),Prednisolone 100 mg (Vien nen - Lot 187),Chai,301960
T01981,Losartan 5 mg (Viên nén - Lot 410),Losartan 5 mg (Vien nen - Lot 410),Tuýp,45440
T01982,Furosemide 5 mg (Viên nén - Lot 338),Furosemide 5 mg (Vien nen - Lot 338),Viên nén,375250
T01983,Chống Viêm 10 mg (Viên nén - Lot 523),Chong Viem 10 mg (Vien nen - Lot 523),Viên nén,200420
T01984,Prednisolone 500 mg (Stada - Lot 896),Prednisolone 500 mg (Stada - Lot 896),Ống tiêm,144770
T01985,Giảm Đau 5 ml (Stada - Lot 318),Giam Dau 5 ml (Stada - Lot 318),Viên nén,432040
T01986,Levothyroxine 1000 IU (Stada - Lot 868),Levothyroxine 1000 IU (Stada - Lot 868),Viên nén,218220
T01987,Captopril 5 mg (Mekophar - Lot 698),Captopril 5 mg (Mekophar - Lot 698),Hộp,373680
T01988,Diazepam 1000 IU (Mekophar - Lot 687),Diazepam 1000 IU (Mekophar - Lot 687),Chai,172720
T01989,Loratadine 5 mg (Mekophar - Lot 223),Loratadine 5 mg (Mekophar - Lot 223),Gói,309030
T01990,Atorvastatin 1000 IU (Domesco - Lot 398),Atorvastatin 1000 IU (Domesco - Lot 398),Gói,452320
T01991,Fluconazole 10 mg (Stada - Lot 924),Fluconazole 10 mg (Stada - Lot 924),Tuýp,288540
T01992,Giảm Đau 250 mg (Stada - Lot 137),Giam Dau 250 mg (Stada - Lot 137),Tuýp,186840
T01993,Giảm Đau 250 mg (Mekophar - Lot 491),Giam Dau 250 mg (Mekophar - Lot 491),Viên nén,90340
T01994,Doxycycline 250 mg (Domesco - Lot 774),Doxycycline 250 mg (Domesco - Lot 774),Hộp,176760
T01995,Atorvastatin 500 mg (Domesco - Lot 543),Atorvastatin 500 mg (Domesco - Lot 543),Viên nén,81700
T01996,Furosemide 5 mg (Stada - Lot 915),Furosemide 5 mg (Stada - Lot 915),Chai,114990
T01997,Omeprazole 5 mg (Mekophar - Lot 490),Omeprazole 5 mg (Mekophar - Lot 490),Viên nang,294090
T01998,Metformin 100 mg (Viên nén - Lot 658),Metformin 100 mg (Vien nen - Lot 658),Viên nang,22470
T01999,Diclofenac 5 mg (Domesco - Lot 929),Diclofenac 5 mg (Domesco - Lot 929),Ống tiêm,298650
T02000,Levothyroxine 1000 IU (Mekophar - Lot 523),Levothyroxine 1000 IU (Mekophar - Lot 523),Viên nang,475150
T02001,Prednisolone 100 mg (Stada - Lot 713),Prednisolone 100 mg (Stada - Lot 713),Viên nang,354830
T02002,Prednisolone 5 ml (Domesco - Lot 929),Prednisolone 5 ml (Domesco - Lot 929),Ống tiêm,468640
T02003,Diazepam 5 mg (Viên nén - Lot 232),Diazepam 5 mg (Vien nen - Lot 232),Viên nang,323320
T02004,Diclofenac 5 ml (Stada - Lot 820),Diclofenac 5 ml (Stada - Lot 820),Gói,337750
T02005,Loratadine 10 mg (Viên nén - Lot 714),Loratadine 10 mg (Vien nen - Lot 714),Tuýp,334990
T02006,Omeprazole 5 mg (Domesco - Lot 239),Omeprazole 5 mg (Domesco - Lot 239),Hộp,195420
T02007,Cefuroxim 1000 IU (Mekophar - Lot 841),Cefuroxim 1000 IU (Mekophar - Lot 841),Tuýp,430390
T02008,Fluconazole 250 mg (Viên nén - Lot 803),Fluconazole 250 mg (Vien nen - Lot 803),Chai,159360
T02009,Vitamin C 5 ml (Viên nén - Lot 728),Vitamin C 5 ml (Vien nen - Lot 728),Viên nang,400720
T02010,Prednisolone 250 mg (Domesco - Lot 835),Prednisolone 250 mg (Domesco - Lot 835),Chai,95380
T02011,Amoxicillin 100 mg (Domesco - Lot 399),Amoxicillin 100 mg (Domesco - Lot 399),Viên nén,53020
T02012,Doxycycline 1000 IU (Domesco - Lot 590),Doxycycline 1000 IU (Domesco - Lot 590),Viên nén,221640
T02013,Amoxicillin 100 mg (Mekophar - Lot 207),Amoxicillin 100 mg (Mekophar - Lot 207),Viên nén,147220
T02014,Hạ Sốt 10 mg (Domesco - Lot 453),Ha Sot 10 mg (Domesco - Lot 453),Viên nén,152990
T02015,Ibuprofen 100 mg (Domesco - Lot 898),Ibuprofen 100 mg (Domesco - Lot 898),Ống tiêm,480190
T02016,Giảm Đau 1000 IU (Stada - Lot 902),Giam Dau 1000 IU (Stada - Lot 902),Gói,83870
T02017,Paracetamol 500 mg (Mekophar - Lot 183),Paracetamol 500 mg (Mekophar - Lot 183),Tuýp,351360
T02018,Fluconazole 5 mg (Domesco - Lot 739),Fluconazole 5 mg (Domesco - Lot 739),Viên nang,11100
T02019,Amoxicillin 250 mg (Domesco - Lot 971),Amoxicillin 250 mg (Domesco - Lot 971),Ống tiêm,399450
T02020,Atorvastatin 5 ml (Domesco - Lot 821),Atorvastatin 5 ml (Domesco - Lot 821),Chai,484230
T02021,Diazepam 1000 IU (Mekophar - Lot 522),Diazepam 1000 IU (Mekophar - Lot 522),Viên nang,172680
T02022,Atorvastatin 5 ml (Viên nén - Lot 291),Atorvastatin 5 ml (Vien nen - Lot 291),Tuýp,86430
T02023,Metformin 250 mg (Stada - Lot 233),Metformin 250 mg (Stada - Lot 233),Viên nang,360740
T02024,Losartan 250 mg (Viên nén - Lot 103),Losartan 250 mg (Vien nen - Lot 103),Gói,346470
T02025,Chống Viêm 500 mg (Domesco - Lot 505),Chong Viem 500 mg (Domesco - Lot 505),Chai,94290
T02026,Prednisolone 1000 IU (Viên nén - Lot 509),Prednisolone 1000 IU (Vien nen - Lot 509),Viên nang,234600
T02027,Paracetamol 1000 IU (Stada - Lot 257),Paracetamol 1000 IU (Stada - Lot 257),Gói,413030
T02028,Prednisolone 10 mg (Viên nén - Lot 380),Prednisolone 10 mg (Vien nen - Lot 380),Viên nén,267940
T02029,Vitamin C 1000 IU (Viên nén - Lot 972),Vitamin C 1000 IU (Vien nen - Lot 972),Hộp,445780
T02030,Cefuroxim 5 ml (Domesco - Lot 919),Cefuroxim 5 ml (Domesco - Lot 919),Chai,391820
T02031,Amoxicillin 100 mg (Mekophar - Lot 282),Amoxicillin 100 mg (Mekophar - Lot 282),Viên nang,50790
T02032,Furosemide 5 mg (Stada - Lot 780),Furosemide 5 mg (Stada - Lot 780),Hộp,24360
T02033,Vitamin C 5 mg (Stada - Lot 586),Vitamin C 5 mg (Stada - Lot 586),Gói,267120
T02034,Diclofenac 1000 IU (Mekophar - Lot 798),Diclofenac 1000 IU (Mekophar - Lot 798),Viên nang,335440
T02035,Fluconazole 1000 IU (Domesco - Lot 679),Fluconazole 1000 IU (Domesco - Lot 679),Viên nén,334290
T02036,Giảm Đau 5 mg (Viên nén - Lot 324),Giam Dau 5 mg (Vien nen - Lot 324),Tuýp,357510
T02037,Pantoprazole 5 ml (Mekophar - Lot 839),Pantoprazole 5 ml (Mekophar - Lot 839),Ống tiêm,29440
T02038,Amoxicillin 250 mg (Domesco - Lot 452),Amoxicillin 250 mg (Domesco - Lot 452),Hộp,395040
T02039,Chống Viêm 5 ml (Mekophar - Lot 840),Chong Viem 5 ml (Mekophar - Lot 840),Viên nang,17450
T02040,Fluconazole 500 mg (Mekophar - Lot 573),Fluconazole 500 mg (Mekophar - Lot 573),Viên nén,466250
T02041,Chống Viêm 500 mg (Mekophar - Lot 681),Chong Viem 500 mg (Mekophar - Lot 681),Viên nén,410690
T02042,Prednisolone 1000 IU (Viên nén - Lot 375),Prednisolone 1000 IU (Vien nen - Lot 375),Ống tiêm,196940
T02043,Loratadine 10 mg (Stada - Lot 215),Loratadine 10 mg (Stada - Lot 215),Viên nang,316500
T02044,Ibuprofen 5 mg (Stada - Lot 522),Ibuprofen 5 mg (Stada - Lot 522),Chai,153430
T02045,Furosemide 100 mg (Stada - Lot 735),Furosemide 100 mg (Stada - Lot 735),Ống tiêm,87000
T02046,Aspirin 250 mg (Mekophar - Lot 798),Aspirin 250 mg (Mekophar - Lot 798),Viên nang,213690
T02047,Amoxicillin 5 mg (Stada - Lot 814),Amoxicillin 5 mg (Stada - Lot 814),Viên nén,305350
T02048,Hạ Sốt 5 mg (Viên nén - Lot 725),Ha Sot 5 mg (Vien nen - Lot 725),Tuýp,401220
T02049,Losartan 100 mg (Viên nén - Lot 326),Losartan 100 mg (Vien nen - Lot 326),Viên nang,102800
T02050,Fluconazole 10 mg (Viên nén - Lot 535),Fluconazole 10 mg (Vien nen - Lot 535),Ống tiêm,111070
T02051,Ibuprofen 5 mg (Mekophar - Lot 432),Ibuprofen 5 mg (Mekophar - Lot 432),Tuýp,182070
T02052,Amoxicillin 5 mg (Stada - Lot 559),Amoxicillin 5 mg (Stada - Lot 559),Hộp,486480
T02053,Cefuroxim 10 mg (Domesco - Lot 343),Cefuroxim 10 mg (Domesco - Lot 343),Tuýp,315510
T02054,Diazepam 500 mg (Domesco - Lot 468),Diazepam 500 mg (Domesco - Lot 468),Viên nén,255330
T02055,Chống Viêm 5 mg (Viên nén - Lot 673),Chong Viem 5 mg (Vien nen - Lot 673),Tuýp,205120
T02056,Giảm Đau 500 mg (Mekophar - Lot 970),Giam Dau 500 mg (Mekophar - Lot 970),Viên nang,57210
T02057,Levothyroxine 5 mg (Mekophar - Lot 713),Levothyroxine 5 mg (Mekophar - Lot 713),Ống tiêm,426820
T02058,Aspirin 250 mg (Stada - Lot 384),Aspirin 250 mg (Stada - Lot 384),Viên nang,313340
T02059,Diclofenac 100 mg (Viên nén - Lot 562),Diclofenac 100 mg (Vien nen - Lot 562),Viên nén,37820
T02060,Furosemide 250 mg (Viên nén - Lot 297),Furosemide 250 mg (Vien nen - Lot 297),Ống tiêm,487670
T02061,Losartan 250 mg (Stada - Lot 870),Losartan 250 mg (Stada - Lot 870),Gói,374430
T02062,Levothyroxine 1000 IU (Domesco - Lot 244),Levothyroxine 1000 IU (Domesco - Lot 244),Viên nang,443010
T02063,Giảm Đau 100 mg (Mekophar - Lot 319),Giam Dau 100 mg (Mekophar - Lot 319),Viên nén,371670
T02064,Vitamin C 500 mg (Stada - Lot 210),Vitamin C 500 mg (Stada - Lot 210),Chai,227890
T02065,Chống Viêm 100 mg (Domesco - Lot 868),Chong Viem 100 mg (Domesco - Lot 868),Chai,323570
T02066,Metformin 5 ml (Viên nén - Lot 550),Metformin 5 ml (Vien nen - Lot 550),Tuýp,345100
T02067,Atorvastatin 5 mg (Mekophar - Lot 485),Atorvastatin 5 mg (Mekophar - Lot 485),Hộp,259970
T02068,Loratadine 1000 IU (Mekophar - Lot 192),Loratadine 1000 IU (Mekophar - Lot 192),Hộp,265680
T02069,Furosemide 1000 IU (Mekophar - Lot 984),Furosemide 1000 IU (Mekophar - Lot 984),Ống tiêm,52390
T02070,Cefuroxim 500 mg (Viên nén - Lot 165),Cefuroxim 500 mg (Vien nen - Lot 165),Viên nén,96710
T02071,Aspirin 250 mg (Stada - Lot 892),Aspirin 250 mg (Stada - Lot 892),Gói,336080
T02072,Furosemide 5 ml (Stada - Lot 394),Furosemide 5 ml (Stada - Lot 394),Chai,487860
T02073,Diclofenac 500 mg (Stada - Lot 878),Diclofenac 500 mg (Stada - Lot 878),Gói,346500
T02074,Cefuroxim 500 mg (Stada - Lot 972),Cefuroxim 500 mg (Stada - Lot 972),Gói,381630
T02075,Aspirin 10 mg (Domesco - Lot 543),Aspirin 10 mg (Domesco - Lot 543),Ống tiêm,444760
T02076,Vitamin C 100 mg (Viên nén - Lot 762),Vitamin C 100 mg (Vien nen - Lot 762),Tuýp,279580
T02077,Fluconazole 5 ml (Stada - Lot 138),Fluconazole 5 ml (Stada - Lot 138),Tuýp,278240
T02078,Cefuroxim 500 mg (Mekophar - Lot 218),Cefuroxim 500 mg (Mekophar - Lot 218),Gói,224450
